Mortalidade Geral em investigação
Óbitos Residentes MSP por Subprefeitura residência e Causas específicas
Faixa Etária OMS: <1 Ano, 1-4, 5-14, 15-24, 25-34, 35-44, 45-54, 55-64, 65-74
Período:2024
"Subprefeitura residência";"Doencas infec intest";"Tuberculose";"Infec menigocóccica";"Septicemia";"Aids";"Covid19";"Hepatites virais";"CA esôfago";"CA estômago";"CA colon";"CA reto, JRS, ânus";"CA fígado";"CA pâncreas";"CA laringe";"CA pulmão";"CA mama";"CA ovário";"CA colo de utero";"CA útero porção n/esp";"CA próstata";"CA encéfalo";"Leucemias";"Linfomas";"Anemias";"Diabetes mellitus";"Desnutrição";"Obesidade";"Alcoolismo";"Meningites";"D. Alzheimer";"Demência";"D. reumática crônica coração";"D. hipertensivas";"Doenças isquêmicas coração";"D. circulacao pulmonar";"Miocardiopatias";"Insuficiencia cardiaca";"D. cerebrovasculares";"Aneurisma e dissecção aorta";"Pneumonias";"Bronquite, enfisema, asma";"Outras doenças pulmão";"Úlcera estômago e duodeno";"Doença alcoólica do fígado";"Fibrose e cirrose hepática (exceto alcóol.)";"Insuficiência renal";"Infecção do trato urinário n/ espec";"Gravidez, parto e puerpério";"Feto/RN afet fat matern e compl grav,parto";"Hipóxia intra-uterina/asfixia nascer";"D. membrana hialina";"Outras afec. respiratórias RN";"Infecções espec. periodo perinatal";"Demais causas perinatais";"Anom congenitas sist nervoso";"Anom congenitas coracao e circ";"Anom congenitas ap digestivo";"Demais anomalias congênitas";"Mal definidas";"Acid trânsito e transporte terrestres";"Quedas acidentais";"Demais acidentes";"Suicídios";"Homicídios";"Lesões intenc indeterminada";"Demais causas externas";"Demais causas de morte";"Total"
"Ipiranga";6;11;-;19;10;5;6;20;22;50;16;20;31;6;67;50;14;11;2;17;17;10;6;1;48;-;9;2;4;7;5;3;27;226;43;18;14;91;33;93;59;9;11;14;22;7;11;1;10;2;2;-;1;8;1;2;1;11;65;18;7;24;10;15;54;4;387;1796
"Itaim Paulista";6;25;-;17;20;3;2;10;23;19;15;17;16;5;43;36;10;7;1;15;11;12;4;2;48;1;2;6;5;2;3;2;41;205;36;18;35;114;19;126;51;16;11;16;18;9;24;1;12;2;3;3;5;6;3;2;2;8;64;6;4;22;3;10;83;4;346;1716
"Itaquera";2;14;2;23;21;4;2;19;23;33;27;25;34;7;57;44;10;15;4;19;23;12;9;7;71;3;4;6;7;6;6;5;41;293;60;38;43;151;39;179;61;11;10;19;16;14;31;1;14;5;2;5;6;9;1;8;1;11;103;9;6;42;6;12;100;11;478;2380
"Jabaquara";2;8;1;7;9;4;1;5;16;10;9;6;21;3;18;28;9;5;2;9;6;3;7;2;13;1;1;1;4;1;1;-;20;100;18;15;12;48;10;56;24;3;3;8;6;3;5;-;4;-;1;1;4;2;-;3;-;1;26;13;-;9;3;7;32;2;155;807
"Jaçanã/Tremembé";4;15;3;15;12;2;1;8;15;25;12;16;27;4;34;26;5;6;2;8;11;5;6;3;38;1;1;4;4;6;3;3;30;178;20;21;13;75;20;92;28;5;11;11;13;9;23;2;10;3;2;2;4;5;3;3;-;5;68;16;3;16;1;6;54;3;263;1343
"Lapa";3;8;-;3;7;-;-;3;13;19;12;9;16;3;40;28;8;6;3;5;5;12;6;4;15;-;1;1;2;2;4;4;12;101;19;10;9;31;22;30;13;1;2;4;13;2;5;1;2;-;-;2;-;2;-;-;-;6;28;5;3;17;4;6;30;-;176;798
"M'Boi Mirim";10;17;-;17;13;6;3;15;38;29;21;14;17;12;82;51;8;22;5;15;16;15;11;3;50;3;6;3;3;10;6;2;63;275;43;29;25;137;30;125;61;10;9;22;14;8;15;1;15;4;7;3;4;4;4;13;-;16;118;29;6;29;12;33;96;5;460;2248
"Moóca";7;14;-;17;5;-;4;7;17;33;10;23;29;3;35;42;8;5;3;14;11;6;15;2;45;1;4;2;6;9;11;3;17;146;25;22;22;55;22;108;42;5;6;7;22;10;20;2;6;1;-;1;9;8;1;4;1;7;59;2;8;16;6;3;55;1;304;1414
"Parelheiros";-;10;-;11;10;1;1;3;6;8;12;6;7;4;13;15;2;5;1;2;6;1;4;2;16;-;1;1;1;-;-;2;20;89;22;9;11;51;6;55;31;4;5;6;6;4;4;1;1;2;2;-;2;2;-;3;-;2;30;7;2;13;6;6;29;5;159;746
"Penha";9;8;-;25;24;8;4;6;26;40;12;15;35;5;47;54;11;11;5;10;22;15;17;3;57;2;5;5;6;8;2;3;41;226;61;28;30;115;30;124;59;11;17;14;21;16;29;5;9;5;1;7;9;9;1;8;-;13;74;9;3;29;8;5;91;7;425;2040
"Perus";2;6;-;8;3;1;1;-;11;11;7;5;6;4;9;10;1;2;4;1;6;3;6;1;26;-;1;1;3;2;1;1;14;65;14;14;7;43;7;38;11;4;5;8;9;2;6;1;3;3;2;1;4;4;2;-;-;6;33;16;2;4;2;2;30;-;112;617
"Pinheiros";3;1;-;6;6;3;3;3;9;13;10;7;28;1;29;20;6;5;1;4;9;7;8;1;12;-;2;1;-;3;6;-;8;83;8;14;4;12;5;21;15;1;-;2;8;1;7;-;4;1;1;-;-;1;-;4;-;3;26;7;2;8;9;2;8;4;132;608
"Pirituba";2;12;1;26;19;2;3;11;24;34;13;20;25;3;48;42;12;13;4;12;8;16;14;2;52;3;6;4;3;9;3;5;50;255;48;28;22;94;21;124;59;10;13;20;17;10;14;1;6;5;1;2;9;9;1;8;1;6;82;23;10;23;8;8;75;3;384;1901
"Santana/Tucuruvi";2;11;-;17;8;1;4;4;12;32;17;14;28;3;42;30;8;6;2;7;13;19;6;3;31;1;5;1;-;8;8;2;16;131;26;16;19;74;17;88;32;2;9;10;11;7;12;1;5;2;-;2;2;6;-;4;-;8;57;9;6;14;4;-;45;6;262;1248
"Santo Amaro";1;6;-;7;4;4;3;6;10;35;2;10;16;2;37;20;8;1;-;7;18;5;8;3;25;-;2;-;1;7;3;-;13;85;11;6;5;30;11;40;11;4;3;7;7;4;8;1;1;2;-;1;-;4;3;3;-;7;32;9;5;10;10;2;26;1;181;794
"São Mateus";8;14;2;14;13;2;2;7;21;36;19;16;23;12;43;37;11;6;2;7;15;11;10;3;62;1;4;2;4;2;1;7;46;217;36;39;24;116;20;155;60;17;13;20;15;9;14;1;7;-;7;2;14;11;-;9;2;12;97;18;11;32;4;7;95;3;358;1908
"São Miguel";5;28;-;19;18;3;3;14;16;18;20;12;16;6;42;48;9;14;3;16;5;7;9;3;50;-;5;1;7;6;1;3;47;209;41;28;30;110;10;139;47;18;7;12;15;13;18;3;14;1;2;8;2;5;1;5;1;2;66;11;4;16;3;6;82;2;363;1748
"Sapopemba";2;13;1;14;4;3;3;7;17;21;9;7;15;5;25;25;4;7;1;9;5;5;6;2;40;2;2;2;1;3;4;7;39;140;27;20;15;68;16;81;25;6;5;15;19;7;9;2;8;1;1;3;6;6;-;3;1;1;43;8;3;14;3;6;61;2;279;1214
"Sé";3;24;-;20;30;3;9;8;13;31;19;27;26;4;42;27;12;15;2;12;9;12;10;-;28;-;3;-;2;4;4;3;28;156;30;17;7;72;16;91;29;7;6;7;12;7;6;-;11;1;2;2;2;4;3;6;-;6;98;13;11;15;3;11;80;1;285;1447
"Vila Maria/Vila Guilherme";3;22;-;8;15;3;3;4;16;21;20;15;8;5;33;38;5;10;4;4;10;9;6;2;40;-;-;7;3;8;4;4;28;145;32;12;18;60;15;89;40;5;8;10;17;7;12;1;9;-;5;5;6;5;1;5;-;3;79;14;7;13;3;6;57;2;279;1328
"Vila Mariana";5;4;-;9;1;1;4;10;6;16;13;18;22;2;38;22;8;4;1;10;9;12;9;1;13;1;3;-;1;-;2;4;11;94;15;4;8;42;15;33;23;1;2;4;14;3;4;1;2;-;-;-;1;1;2;1;-;2;27;5;3;10;9;3;22;1;185;797
"Vila Prudente";3;2;-;9;7;3;2;6;12;28;17;15;15;4;33;22;9;3;-;8;10;6;5;2;20;1;1;1;3;4;-;3;11;94;16;19;12;52;17;73;28;7;6;8;15;8;14;1;4;-;2;-;2;4;2;1;-;3;32;5;3;14;6;2;32;4;213;964
"Ignorado";3;51;-;17;27;2;-;2;4;5;-;5;4;2;9;5;1;-;1;-;2;1;-;3;13;4;2;2;1;1;1;-;4;110;18;30;9;32;4;119;14;7;9;7;3;4;5;-;1;-;1;1;5;3;2;-;-;-;161;81;24;76;6;28;135;5;141;1213
"Total";129;468;14;495;419;87;90;271;578;806;483;451;661;158;1253;1065;247;264;84;305;368;304;264;97;1242;35;103;80;101;151;108;91;995;5472;1030;657;580;2567;605;3075;1245;252;257;392;452;247;436;42;248;61;58;66;138;190;56;146;17;209;2166;483;221;662;195;288;2030;106;9438;46354
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 19/11/2025.
