Mortalidade Geral em investigação
Óbitos Residentes MSP por Subprefeitura residência e Causas específicas
Faixa Etária (13): < 1 ano, 01 - 04, 05 - 09, 10 - 14, 15 - 19, 20 - 29, 30 - 39, 40 - 49, 50 - 59, 60 - 69
Período:2024
"Subprefeitura residência";"Doencas infec intest";"Tuberculose";"Infec menigocóccica";"Septicemia";"Aids";"Covid19";"Hepatites virais";"CA esôfago";"CA estômago";"CA colon";"CA reto, JRS, ânus";"CA fígado";"CA pâncreas";"CA laringe";"CA pulmão";"CA mama";"CA ovário";"CA colo de utero";"CA útero porção n/esp";"CA próstata";"CA encéfalo";"Leucemias";"Linfomas";"Anemias";"Diabetes mellitus";"Desnutrição";"Obesidade";"Alcoolismo";"Meningites";"D. Alzheimer";"Demência";"D. reumática crônica coração";"D. hipertensivas";"Doenças isquêmicas coração";"D. circulacao pulmonar";"Miocardiopatias";"Insuficiencia cardiaca";"D. cerebrovasculares";"Aneurisma e dissecção aorta";"Pneumonias";"Bronquite, enfisema, asma";"Outras doenças pulmão";"Úlcera estômago e duodeno";"Doença alcoólica do fígado";"Fibrose e cirrose hepática (exceto alcóol.)";"Insuficiência renal";"Infecção do trato urinário n/ espec";"Gravidez, parto e puerpério";"Feto/RN afet fat matern e compl grav,parto";"Hipóxia intra-uterina/asfixia nascer";"D. membrana hialina";"Outras afec. respiratórias RN";"Infecções espec. periodo perinatal";"Demais causas perinatais";"Anom congenitas sist nervoso";"Anom congenitas coracao e circ";"Anom congenitas ap digestivo";"Demais anomalias congênitas";"Mal definidas";"Acid trânsito e transporte terrestres";"Quedas acidentais";"Demais acidentes";"Suicídios";"Homicídios";"Lesões intenc indeterminada";"Demais causas externas";"Demais causas de morte";"Total"
"Ipiranga";4;10;-;13;10;4;5;16;13;38;11;15;23;5;48;45;10;10;1;8;13;7;6;1;30;-;9;2;4;3;1;2;21;178;31;17;12;56;24;66;38;5;5;14;18;4;5;1;10;2;2;-;1;8;1;2;1;11;57;16;6;17;9;15;49;4;294;1367
"Itaim Paulista";3;23;-;15;20;3;2;6;20;15;14;14;12;4;35;30;9;7;-;8;9;11;4;2;40;1;2;6;5;1;2;2;32;181;29;17;26;86;13;106;37;13;9;12;16;8;17;1;12;2;3;3;5;6;3;2;2;8;60;5;4;19;3;10;80;4;284;1443
"Itaquera";1;13;2;15;21;4;2;15;20;30;18;17;27;6;40;38;8;13;3;10;20;9;9;7;51;2;4;4;7;2;1;5;31;222;46;31;35;112;33;142;38;10;4;19;13;11;20;1;14;5;2;5;6;9;1;7;1;11;94;8;5;34;6;12;95;9;372;1888
"Jabaquara";2;6;1;5;9;2;1;5;12;7;5;5;17;3;14;27;7;5;2;6;6;3;6;1;8;1;1;1;4;-;-;-;16;79;17;12;12;35;5;46;13;2;2;7;6;-;4;-;4;-;1;1;4;2;-;3;-;1;24;11;-;9;2;7;31;2;117;647
"Jaçanã/Tremembé";4;15;3;11;11;1;1;8;13;18;12;13;22;4;19;23;4;5;2;4;8;5;5;2;28;1;1;4;4;2;2;3;17;144;14;17;8;58;11;66;14;3;8;9;11;7;19;2;10;3;2;2;4;5;3;3;-;5;63;15;3;14;1;6;49;3;197;1054
"Lapa";1;6;-;2;6;-;-;2;11;15;9;4;13;2;25;27;6;5;2;2;3;9;5;4;13;-;1;1;2;-;-;3;8;70;12;8;3;20;13;21;8;-;1;4;9;1;3;1;2;-;-;2;-;2;-;-;-;6;27;5;2;15;4;6;26;-;123;581
"M'Boi Mirim";6;16;-;15;13;5;3;10;34;24;18;9;13;11;55;47;5;20;5;7;15;13;8;2;36;3;6;3;3;5;5;2;48;224;37;23;21;114;24;104;43;7;7;18;12;4;10;1;15;4;7;3;4;4;4;13;-;16;112;29;6;24;12;32;93;5;369;1866
"Moóca";4;12;-;14;5;-;4;5;17;26;9;15;22;2;24;34;6;5;2;5;10;5;8;2;32;1;4;1;5;3;3;1;11;102;18;16;14;35;19;81;26;3;2;7;18;9;11;2;6;1;-;1;9;8;1;4;1;7;52;2;7;14;6;3;52;-;227;1061
"Parelheiros";-;8;-;10;10;1;1;3;2;3;8;3;5;4;9;15;2;5;1;-;5;-;3;2;11;-;1;1;1;-;-;1;13;76;15;8;9;43;5;42;19;4;4;6;4;3;3;1;1;2;2;-;2;2;-;3;-;2;29;7;2;11;6;6;28;5;131;609
"Penha";7;8;-;21;24;4;4;5;19;29;8;13;27;5;33;50;10;11;4;6;20;14;12;2;42;2;5;5;6;3;1;1;30;169;45;27;19;85;19;95;38;7;13;13;20;12;16;5;9;5;1;7;9;9;1;8;-;13;68;9;3;20;8;5;82;6;330;1607
"Perus";1;6;-;7;3;1;-;-;9;8;6;3;5;3;6;9;1;2;3;1;6;3;6;1;19;-;1;-;3;1;1;1;9;53;12;12;6;39;4;28;8;3;4;8;6;1;4;1;3;3;2;1;4;4;2;-;-;6;31;14;2;4;2;2;29;-;90;513
"Pinheiros";1;1;-;4;6;3;2;2;7;8;9;3;15;-;20;15;6;2;1;3;7;3;6;1;8;-;2;1;-;1;4;-;4;61;6;7;1;7;-;14;9;1;-;2;7;1;3;-;4;1;1;-;-;1;-;4;-;3;25;7;2;5;9;2;7;2;91;428
"Pirituba";1;11;1;15;19;2;3;9;15;25;8;15;20;3;42;37;9;13;4;9;6;13;11;2;38;3;5;4;3;3;1;3;40;183;38;22;11;73;12;94;32;8;10;20;16;10;12;1;6;5;1;2;9;9;1;8;1;6;78;21;9;20;8;8;68;2;308;1505
"Santana/Tucuruvi";2;11;-;13;8;1;4;2;11;24;13;8;20;2;30;22;6;4;2;3;8;13;4;2;21;1;5;-;-;2;5;2;12;98;17;12;13;56;11;64;17;2;6;9;8;6;5;1;5;2;-;2;2;6;-;4;-;8;52;9;3;13;4;-;43;4;183;926
"Santo Amaro";1;5;-;6;4;2;2;4;9;21;1;7;9;-;26;15;6;1;-;4;13;2;7;3;19;-;2;-;1;1;2;-;9;63;8;4;2;20;6;30;6;3;1;6;7;3;6;1;1;2;-;1;-;4;3;3;-;7;30;9;4;9;10;2;20;-;137;590
"São Mateus";6;14;2;13;13;1;1;6;19;28;15;12;19;10;36;32;10;6;2;5;15;10;8;3;44;-;4;2;3;-;-;4;38;175;27;27;15;90;11;115;41;12;10;19;13;6;10;1;7;-;7;2;14;11;-;9;2;12;95;16;11;28;4;7;93;2;306;1579
"São Miguel";2;22;-;16;17;3;3;10;14;15;16;11;16;6;36;45;6;13;3;7;5;6;8;2;41;-;4;1;6;4;1;3;33;170;33;26;27;87;9;116;30;16;6;11;12;11;14;3;14;1;2;8;2;5;1;5;1;2;66;11;3;14;3;6;75;2;292;1459
"Sapopemba";1;10;1;10;4;2;3;5;13;16;9;4;14;5;18;22;3;7;-;6;5;4;5;2;28;-;2;1;1;1;2;4;29;111;18;16;10;44;13;61;16;4;5;13;17;7;5;2;8;1;1;3;6;6;-;3;1;1;42;8;3;10;3;6;57;1;238;977
"Sé";1;22;-;12;27;2;7;5;11;24;13;21;16;4;29;23;10;15;2;3;8;10;6;-;20;-;3;-;2;2;1;2;24;123;26;14;4;44;8;67;16;7;6;7;10;6;4;-;11;1;2;2;2;4;3;4;-;6;87;13;9;11;3;11;74;-;218;1128
"Vila Maria/Vila Guilherme";2;21;-;3;15;2;3;3;14;18;18;7;5;3;23;28;4;10;2;1;10;8;6;1;31;-;-;6;3;4;1;1;20;110;24;8;12;41;8;69;29;3;6;8;11;6;9;1;9;-;5;5;6;5;1;5;-;3;76;13;5;13;3;6;52;2;222;1049
"Vila Mariana";3;4;-;4;1;1;2;3;5;9;8;13;12;2;21;18;6;3;1;5;7;10;8;1;4;1;3;-;1;-;-;3;7;65;6;3;7;29;7;23;13;1;-;4;10;2;3;1;2;-;-;-;1;1;2;1;-;2;25;5;2;7;9;3;22;1;138;561
"Vila Prudente";1;2;-;8;7;2;2;5;10;22;12;9;10;2;19;21;6;2;-;6;10;4;5;2;13;-;1;-;3;1;-;1;7;63;12;18;9;38;13;44;22;4;3;5;11;6;9;1;4;-;2;-;2;4;2;1;-;3;28;5;3;10;6;2;26;2;163;714
"Ignorado";1;49;-;16;27;1;-;2;4;4;-;2;3;1;7;5;1;-;1;-;2;1;-;3;12;4;1;2;1;-;1;-;1;89;14;28;8;26;3;101;10;7;7;6;3;3;3;-;1;-;1;1;5;3;2;-;-;-;151;80;21;75;6;28;135;5;127;1101
"Total";83;432;14;381;410;59;80;196;462;614;372;314;496;129;891;928;199;240;68;170;313;243;219;80;899;28;98;69;95;54;50;62;753;4253;779;542;413;1920;420;2328;789;194;184;354;378;193;284;42;248;61;58;66;138;190;56;143;17;208;2040;463;188;557;192;286;1901;85;7438;36909
Fonte: Sistema de Informações sobre Mortalidade – SIM/PRO-AIM – CEInfo –SMS-SP
Notas:
1. Para tabulações de proporções, o campo referente à proporção deve constar em linhas ou colunas.
2. A partir de 2005, os óbitos por acidentes de trânsito passaram a ser qualificados com o apoio da Companhia de Engenharia de Tráfego – CET. Este processo tem uma defasagem temporal em relação ao momento em que o dado é disponibilizado.
3. Dados provisórios. Atualizado em 07/11/2025.
